epoch,accuracy
1,8.960000
2,12.600000
3,14.730000
4,21.630000
5,22.850000
6,28.020000
7,29.450000
8,26.760000
9,30.780000
10,38.200000
11,34.600000
12,45.280000
13,40.450000
14,41.520000
15,43.530000
16,43.550000
17,48.770000
18,40.570000
19,46.750000
20,45.420000
21,44.940000
22,57.520000
23,60.680000
24,62.520000
25,62.790000
26,58.820000
27,66.880000
28,65.210000
29,64.580000
30,66.380000
31,63.220000
32,61.270000
33,65.910000
34,69.840000
35,68.030000
36,67.630000
37,64.430000
38,67.800000
39,68.090000
40,70.560000
41,65.590000
42,70.000000
43,69.100000
44,69.740000
45,63.450000
46,65.110000
47,70.300000
48,66.840000
49,70.980000
50,74.050000
51,72.780000
52,69.090000
53,74.180000
54,72.450000
55,68.840000
56,72.060000
57,72.160000
58,69.880000
59,75.170000
60,69.820000
61,72.330000
62,77.960000
63,75.350000
64,74.770000
65,72.830000
66,73.400000
67,79.050000
68,79.710000
69,80.640000
70,78.800000
71,80.880000
72,80.710000
73,81.830000
74,81.740000
75,81.570000
76,81.730000
77,81.950000
78,81.930000
79,81.740000
80,81.880000
81,82.050000
82,82.340000
83,81.730000
84,81.800000
85,82.260000
86,83.290000
87,81.420000
88,82.710000
89,82.250000
90,81.570000
91,82.690000
92,82.800000
93,82.950000
94,82.320000
95,82.180000
96,82.910000
97,82.250000
98,82.800000
99,82.460000
100,82.110000
101,83.080000
102,82.960000
103,83.390000
104,83.010000
105,83.560000
106,83.770000
107,83.870000
108,83.920000
109,83.680000
110,84.020000
