epoch,loss_G,loss_S
1,-2.008256,1.647574
2,-0.946360,0.934158
3,-0.963145,0.941970
4,-0.930741,0.930703
5,-1.039863,0.915379
6,-0.931139,0.851422
7,-1.249750,0.854098
8,-1.023141,0.807093
9,-0.874556,0.807620
10,-0.898300,0.770207
11,-0.813551,0.775331
12,-0.906323,0.740650
13,-0.932213,0.718946
14,-0.767121,0.728606
15,-0.858441,0.707357
16,-0.848654,0.698464
17,-0.808188,0.716150
18,-0.813670,0.692116
19,-0.862520,0.702825
20,-0.976442,0.682993
21,-0.909432,0.677756
22,-0.794269,0.654217
23,-0.643331,0.607045
24,-0.595119,0.590631
25,-0.663108,0.588167
26,-0.658247,0.587647
27,-0.678941,0.582374
28,-0.632406,0.574407
29,-0.669825,0.604013
30,-0.749029,0.591998
31,-0.632702,0.576162
32,-0.662236,0.598232
33,-0.720710,0.583405
34,-0.692269,0.585244
35,-0.605709,0.588847
36,-0.637408,0.592214
37,-0.623622,0.589136
38,-0.837762,0.557572
39,-0.650028,0.580083
40,-0.606114,0.603247
41,-0.737898,0.565851
42,-0.635138,0.584021
43,-0.601836,0.562999
44,-0.768250,0.583749
45,-0.684228,0.586742
46,-0.731318,0.581734
47,-0.721125,0.578814
48,-0.669388,0.585265
49,-0.798700,0.559876
50,-0.648613,0.553541
51,-0.596487,0.570291
52,-0.675691,0.579682
53,-0.666416,0.577225
54,-0.622361,0.567738
55,-0.649215,0.553972
56,-0.683207,0.559582
57,-0.726713,0.557304
58,-0.693317,0.566030
59,-0.612757,0.561346
60,-0.600523,0.553913
61,-0.693152,0.546462
62,-0.669689,0.537033
63,-0.712108,0.546263
64,-0.667396,0.541506
65,-0.608791,0.569453
66,-0.618871,0.551830
67,-0.772654,0.542777
68,-0.513130,0.499776
69,-0.482832,0.493254
70,-0.502077,0.489050
71,-0.484154,0.480773
72,-0.507785,0.497754
73,-0.493319,0.488079
74,-0.490378,0.467785
75,-0.495021,0.489497
76,-0.543132,0.471872
77,-0.495398,0.482107
78,-0.514170,0.473638
79,-0.483755,0.468894
80,-0.510921,0.500599
81,-0.507820,0.456747
82,-0.531009,0.489372
83,-0.480467,0.472022
84,-0.500377,0.473157
85,-0.500015,0.456781
86,-0.534049,0.476105
87,-0.486687,0.470911
88,-0.561669,0.462249
89,-0.474917,0.483710
90,-0.498350,0.477665
91,-0.480524,0.478663
92,-0.488952,0.450305
93,-0.515581,0.472534
94,-0.511419,0.474341
95,-0.491444,0.465600
96,-0.516024,0.484597
97,-0.481932,0.458437
98,-0.501859,0.470026
99,-0.556761,0.462387
100,-0.494189,0.462318
101,-0.503873,0.454977
102,-0.516887,0.449718
103,-0.494063,0.479912
104,-0.500786,0.459786
105,-0.459666,0.472844
106,-0.506124,0.466176
107,-0.489652,0.460167
108,-0.492155,0.446351
109,-0.476693,0.455295
110,-0.486855,0.453628
111,-0.488246,0.466855
