epoch,G_grad_norm,S_grad_norm,grad_wrt_X
1,10.785293,0.170825,0.003811
2,15.076968,0.017705,0.006047
3,16.872652,0.038717,0.006950
4,17.660610,0.055298,0.007327
5,18.261694,0.067179,0.007769
6,17.561264,0.067830,0.008201
7,20.416687,0.072557,0.009209
8,16.302843,0.075665,0.008952
9,16.352215,0.083096,0.008970
10,16.614622,0.086403,0.009026
11,13.977850,0.087039,0.008385
12,14.835793,0.089586,0.008700
13,13.681647,0.092547,0.008898
14,13.429412,0.097693,0.008614
15,14.483049,0.092821,0.008866
16,14.649038,0.104725,0.009056
17,13.935410,0.105743,0.008864
18,14.351988,0.107448,0.009579
19,17.078072,0.104273,0.009917
20,14.513762,0.106922,0.009881
21,14.890184,0.106404,0.010318
22,14.363156,0.096901,0.009593
23,13.409875,0.115563,0.009379
24,13.887598,0.118422,0.009307
25,12.559189,0.129846,0.009230
26,14.448900,0.133328,0.009240
27,11.969770,0.128395,0.009159
28,15.080522,0.142758,0.009362
29,14.491319,0.142670,0.009431
30,13.267532,0.144173,0.009728
31,14.210917,0.146574,0.009423
32,13.007100,0.149373,0.009130
33,13.943017,0.142817,0.009563
34,13.355913,0.149125,0.009334
35,14.336177,0.153692,0.009104
36,13.782156,0.154648,0.009068
37,13.426680,0.161567,0.009104
38,13.540861,0.151616,0.009660
39,12.638143,0.154293,0.009067
40,12.875331,0.156260,0.008746
41,14.165924,0.149604,0.009291
42,14.582591,0.157943,0.009285
43,12.936439,0.153558,0.009051
44,14.175096,0.164153,0.009487
45,12.181387,0.165870,0.009032
46,13.840116,0.165062,0.009390
47,12.286063,0.165955,0.009045
48,14.390047,0.158137,0.009198
49,13.306056,0.163304,0.008969
50,12.455100,0.160996,0.008964
51,12.584584,0.159266,0.009001
52,12.256958,0.178728,0.009046
53,13.625624,0.163932,0.008992
54,12.867940,0.162091,0.008776
55,12.413217,0.165023,0.008604
56,14.144013,0.157488,0.008894
57,13.157000,0.160211,0.009050
58,12.617971,0.158975,0.009110
59,13.696458,0.166295,0.008730
60,12.693025,0.160621,0.008740
61,13.262151,0.165875,0.008877
62,12.884892,0.168328,0.008764
63,15.264106,0.155844,0.008934
64,12.487139,0.168747,0.008836
65,14.025399,0.159210,0.008942
66,12.422578,0.164768,0.008655
67,12.710250,0.159075,0.008962
68,12.136637,0.166338,0.008538
69,12.558232,0.173195,0.008184
70,12.923567,0.172236,0.008425
71,11.916037,0.175705,0.008205
72,12.606424,0.178197,0.008490
73,11.747439,0.173062,0.008449
74,11.904031,0.177924,0.008509
75,11.694025,0.183309,0.008288
76,12.182214,0.192054,0.008398
77,12.477759,0.193014,0.008423
78,11.352953,0.203001,0.007911
79,12.021027,0.201511,0.008163
80,11.721390,0.206077,0.008469
81,12.162892,0.204379,0.008183
82,12.285009,0.197272,0.008465
83,12.597142,0.201935,0.008148
84,12.788552,0.203694,0.008316
85,13.820067,0.202569,0.008352
86,11.896616,0.210172,0.008297
87,11.001655,0.211687,0.008297
88,11.830136,0.218747,0.008240
89,11.720057,0.213460,0.008229
90,12.589557,0.207974,0.008285
91,11.886243,0.215300,0.008329
92,11.364382,0.213219,0.008258
93,11.724187,0.217339,0.008277
94,11.561015,0.213758,0.008400
95,13.112253,0.213907,0.008146
96,12.758555,0.215310,0.008117
97,10.935262,0.220373,0.008173
98,12.734963,0.217834,0.008284
99,10.310860,0.218009,0.008186
100,12.328052,0.222659,0.008354
101,11.291934,0.223750,0.008316
102,11.942535,0.221530,0.008252
103,10.869882,0.229869,0.008314
104,11.880285,0.214994,0.008355
105,11.611838,0.227819,0.008057
106,10.510385,0.218717,0.008297
107,11.188429,0.227832,0.008336
108,11.266945,0.218575,0.008193
109,11.865890,0.220147,0.008206
110,12.546850,0.231201,0.008363
111,11.975844,0.228927,0.008115
